latitude,longitude,chain,tractnum,ntanum
40.74163,-73.9933099,Chipotle,2075,104
40.72913,-73.98859,Chipotle,1161,124
40.75954,-73.9916,Chipotle,944,13
40.8044524,-73.9667915,Chipotle,2016,94
40.75732,-73.97069,Chipotle,6,21
40.736768245697,-73.9972007274628,Chipotle,940,105
40.75732,-73.97069,Chipotle,6,21
40.73117,-73.99353,Chipotle,768,105
40.7042316742746,-74.013003687106,Chipotle,1369,40
40.7521935,-73.9938354,Chipotle,1704,104
40.7593566036932,-73.9827643275546,Chipotle,745,20
40.7538291,-73.9813784,Chipotle,4,20
40.737316,-73.989967,Chipotle,1544,104
40.74606,-73.994,Chipotle,939,20
40.75732,-73.97069,Chipotle,6,21
40.75732,-73.97069,Chipotle,6,21
40.7066592756843,-74.0072495769326,Chipotle,1368,40
40.76307,-73.98532,Chipotle,1027,20
40.7454705293401,-73.9828921834671,Chipotle,1294,20
40.748387,-73.985583,Chipotle,1518,20
40.779372,-73.9811,Chipotle,1476,100
40.736768245697,-73.9972007274628,Chipotle,940,105
40.76307,-73.98532,Chipotle,1027,20
40.756197,-73.980714,Chipotle,4,20
40.74606,-73.994,Chipotle,939,20
40.73996,-73.98508,Chipotle,2089,86
40.751396,-73.980712,Chipotle,1429,82
40.73996,-73.98508,Chipotle,2089,86
40.752857,-73.988563,Chipotle,743,20
40.7281630330805,-74.0051306784153,Chipotle,1686,121
40.757682,-73.974212,Chipotle,7,20
40.73427,-73.98911,Chipotle,2086,86
40.742057,-74.001251,Chipotle,1078,104
40.75954,-73.9916,Chipotle,944,13
40.73427,-73.98911,Chipotle,2086,86
40.7635843626354,-73.9779210090637,Chipotle,1028,20
40.736768245697,-73.9972007274628,Chipotle,940,105
40.7443253695965,-73.9761447161436,Chipotle,1199,82
40.7659759521484,-73.982551574707,Chipotle,1028,20
40.7151865,-74.011066,Chipotle,1998,121
40.7259231997786,-73.9965747390492,Chipotle,957,105
40.8414141,-73.9396807,Chipotle,750,184
40.7778585552157,-73.9545533815732,Chipotle,16,72
40.7659378,-73.9571533,Chipotle,1481,148
40.786242,-73.9779198,Chipotle,1317,99
40.73996,-73.98508,Chipotle,2089,86
40.742057,-74.001251,Chipotle,1078,104
40.8044524,-73.9667915,Chipotle,2016,94
40.7625487808959,-73.9660083130002,Chipotle,13,76
40.7625487808959,-73.9660083130002,Chipotle,13,76
40.7334174960852,-73.9997662603855,Chipotle,1140,105
40.7521935,-73.9938354,Chipotle,1704,104
40.7023125,-74.0114975,Chipotle,1369,40
40.7187461853027,-74.0020446777344,Chipotle,2034,121
40.7332611083984,-74.0001907348633,Petland Discounts,1140,105
40.7782363891602,-73.9799957275391,Petland Discounts,2161,100
40.7557907,-73.9676437,Petland Discounts,5,21
40.8021354675293,-73.9480514526367,Petland Discounts,23,17
40.7773742675781,-73.951286315918,Petland Discounts,16,72
40.7109299,-74.0066299,Petland Discounts,1135,40
40.7295265197754,-73.97900390625,Petland Discounts,2103,124
40.7446761540884,-74.0049839041992,Petland Discounts,2077,104
40.799304,-73.967918,Petland Discounts,2126,99
40.792602,-73.944328,Petland Discounts,2046,77
40.8042027,-73.9366425,Petland Discounts,1359,147
40.7630939,-73.9890252,Petland Discounts,943,13
40.734342,-73.9799363,Petland Discounts,2104,125
40.799304,-73.967918,Petland Discounts,2126,99
40.71175,-74.00885,New York Sports Clubs,1998,121
40.7623813301325,-73.9834959805012,New York Sports Clubs,1027,20
40.79388,-73.97301,New York Sports Clubs,1319,99
40.8096485,-73.9517485,New York Sports Clubs,30,17
40.71175,-74.00885,New York Sports Clubs,1998,121
40.7400017,-73.9855728,New York Sports Clubs,2089,86
40.72234,-73.99957,New York Sports Clubs,1687,121
40.7340431,-74.0023575,New York Sports Clubs,1838,105
40.7447205,-73.9812775,New York Sports Clubs,1293,82
40.7523613,-73.9872437,New York Sports Clubs,743,20
40.763282,-73.970092,New York Sports Clubs,1007,76
40.7818183898926,-73.9805450439453,New York Sports Clubs,1477,99
40.779541,-73.9549713,New York Sports Clubs,19,76
40.779541,-73.9549713,New York Sports Clubs,19,76
40.7555313110352,-73.980827331543,New York Sports Clubs,4,20
40.7067986,-74.0058899,New York Sports Clubs,850,40
40.7533989,-73.9771805,New York Sports Clubs,1006,21
40.715088,-74.015587,New York Sports Clubs,1579,40
40.7340431,-74.0023575,New York Sports Clubs,1838,105
40.74449,-73.97587,New York Sports Clubs,1199,82
40.7062816,-74.0116317,New York Sports Clubs,1369,40
40.7710456848145,-73.9550704956055,New York Sports Clubs,999,148
40.7455366,-73.998087,New York Sports Clubs,2084,104
40.7164599001408,-74.0099465847015,New York Sports Clubs,1998,121
40.749568939209,-73.9746246337891,New York Sports Clubs,1133,21
40.7710456848145,-73.9550704956055,New York Sports Clubs,999,148
40.77102,-73.98294,New York Sports Clubs,1072,100
40.7400017,-73.9855728,New York Sports Clubs,2089,86
40.73668,-73.9956,New York Sports Clubs,940,105
40.7290031,-74.0056304,New York Sports Clubs,1999,105
40.7489783316851,-73.9859723299742,New York Sports Clubs,1518,20
40.75583,-73.98879,New York Sports Clubs,12,20
40.76038,-73.98519,New York Sports Clubs,745,20
40.757194,-73.971267,New York Sports Clubs,6,21
40.77769,-73.97673,New York Sports Clubs,2161,100
